Thema,Onderwerp,Tekst,Externe links,URL
,,Met zingeving geef je meer betekenis aan je leven. Zingeving betekent je passie volgen. Je houdt je dan bezig met wat je écht leuk vindt.,"https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/activiteit/training-samenkracht/, https://in-gouda.nl/subject/vrijwilligerswerk/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/thema/werk-uitkering-en-leren/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/onderwerp/een-laag-inkomen-en-sporten-of-naar-een-culturele-activiteit/, https://sociaalteamgouda.nl/thema/wijk-activiteiten-en-meedoen/, https://www.goudvoorelkaar.nl/hulpvragen/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://www.humanitas.nl/onze-vrijwilligers/, https://goudabruist.nl/web/lijst/activiteiten.vm?thema=6, https://sociaalteamgouda.nl/3365-2/, https://sociaalteamgouda.nl/21-maart-de-eerste-editie-van-scootmobieldag-gouda/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://in-gouda.nl/subject_theme/actief-zijn-en-meedoen/, https://sociaalteamgouda.nl/thema/gezondheid-en-stress/",https://sociaalteamgouda.nl/onderwerp/hoe-vul-ik-mijn-vrije-tijd-zinvol-in/
,,"Via het Volwassenfonds Sport en Cultuur kan er een (gedeelte van) de contributie/het lesgeld voor een sport betaald worden wanneer je dat zelf even niet kan. Zo is het toch mogelijk om lid te worden van een sportclub. Met de bijdrage uit het fonds krijg je een vergoeding per jaar. Je moet dan in het sportseizoen minimaal één keer per week een sportactiviteit doen. Er wordt maximaal €250 per jaar vergoed. En mocht het nodig zijn, dan kun je, naast je aanvraag om te sporten, ook een extra aanvraag doen voor spullen zoals sportkleding. Die spullen moeten wel te maken hebben met de sport die je wil doen. Je leest de spelregels van het Volwassenfonds Sport en Cultuur. Je kunt het fonds aanvragen door op te nemen met Sociaal Team Gouda. Als je weinig geld verdient, kun je via de gemeente Gouda voor €5,- een Rotterdampas kopen. Je kinderen krijgen dan gratis een pas met daarop tegoedbonnen voor contributie van sportverenigingen. En ook jeugdtegoed (geld) om bijvoorbeeld sportkleding of sportspullen te kopen. Kijk voor meer informatie op .","https://sociaalteamgouda.nl/activiteit/cursus-grip-op-je-geld/, https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/activiteit/training-samenkracht/, https://www.volwassenenfonds.nl/, https://sociaalteamgouda.nl/contact/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl/activiteit/financieel-spreekuur/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/thema/wijk-activiteiten-en-meedoen/, https://sociaalteamgouda.nl/thema/geld-en-schulden/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, http://www.gouda.nl/rotterdampas, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl/activiteit/webinar-financiele-gezondheid/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://sociaalteamgouda.nl/activiteit/papierwinkel/, https://www.volwassenenfonds.nl/deelnemers/, https://sociaalteamgouda.nl/thema/gezondheid-en-stress/, https://www.volwassenenfonds.nl/gemeentechecker/",https://sociaalteamgouda.nl/onderwerp/een-laag-inkomen-en-sporten/
,,"Wil je, totdat je betaald werk of vrijwilligerswerk hebt, iets anders doen? Dan kun je bijvoorbeeld ook sporten of . Verveelt je kind zich vaak? Merk je dat je kind een goede dagbesteding nodig heeft? Dan kun je zelf een goede dagbesteding zoeken. Bel bijvoorbeeld een kinderboerderij in de buurt. Misschien kan je kind daar helpen. Bekijk ook . Hier staan allerlei ideeën in.","https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://www.cjggouda.nl/showfile.asp?fil_id=9574, http://www.indeed.com/, https://in-gouda.nl/subject/vrijwilligerswerk/, https://sociaalteamgouda.nl/thema/hulp-bij-zorgen-wonen-en-vervoer/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/activiteit/themabijeenkomsten-voor-ouderen/, https://sociaalteamgouda.nl/thema/wijk-activiteiten-en-meedoen/, https://www.goudvoorelkaar.nl/hulpvragen/, https://sociaalteamgouda.nl/thema/gezondheid-en-stress/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://sociaalteamgouda.nl/maandelijkse-inzamelingsactie-voor-de-voedselbank-gouda/, https://sociaalteamgouda.nl/21-maart-de-eerste-editie-van-scootmobieldag-gouda/, http://www.werk.nl/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://sociaalteamgouda.nl.transurl.nl/subject/hoe-vul-ik-mijn-vrije-tijd-zinvol-in/",https://sociaalteamgouda.nl/onderwerp/ik-zoek-dagbesteding-of-daginvulling/
,,,"https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/activiteit/training-samenkracht/, https://in-gouda.nl/subject/vrijwilligerswerk/, https://sociaalteamgouda.nl/contact/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl/gezocht-mede-initiatiefnemers-fietsmaatjes-gouda/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/onderwerp/een-laag-inkomen-en-sporten-of-naar-een-culturele-activiteit/, https://sociaalteamgouda.nl/thema/wijk-activiteiten-en-meedoen/, https://www.goudvoorelkaar.nl/hulpvragen/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://www.humanitas.nl/onze-vrijwilligers/, https://goudabruist.nl/web/lijst/activiteiten.vm?thema=6, https://sociaalteamgouda.nl/21-maart-de-eerste-editie-van-scootmobieldag-gouda/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://www.sportpuntgouda.nl/, https://in-gouda.nl/subject_theme/actief-zijn-en-meedoen/, https://goudabruist.nl/project/1533/wijkeethuis-gouda-oost",https://sociaalteamgouda.nl/onderwerp/ik-wil-graag-mensen-ontmoeten-of-leuke-dingen-doen-in-de-buurt/
,,Ga bij jezelf na sinds wanneer je je eenzaam voelt. Kun je nagaan wat de oorzaak is van jouw eenzame gevoel? Heb je daadwerkelijk geen mensen om je heen of is het meer een gevoel? Ben je vanuit jezelf bereid om echt iets te doen om dit te veranderen? Pak dan de regie en maak een bij het Sociaal Team Gouda. Je kunt zelf al de eerste stappen zetten zoals: Aarzel niet om contact met ons op te nemen of langs te komen bij ons .,"https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/activiteit/training-samenkracht/, https://sociaalteamgouda.nl/onderwerp/hoe-vul-ik-mijn-vrije-tijd-zinvol-in/, https://sociaalteamgouda.nl/contact/, https://sociaalteamgouda.nl/onderwerp/ik-wil-mij-minder-somber-voelen/, https://sociaalteamgouda.nl/thema/eenzaamheid-rouw-en-verlies/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/thema/wijk-activiteiten-en-meedoen/, https://sociaalteamgouda.nl/onderwerp/ik-zoek-dagbesteding-of-daginvulling/, https://sociaalteamgouda.nl/onderwerp/een-laag-inkomen-en-sporten/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl.transurl.nl/contact/, https://sociaalteamgouda.nl/onderwerp/ik-wil-graag-mensen-ontmoeten-of-leuke-dingen-doen-in-de-buurt/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://sociaalteamgouda.nl/thema/gezondheid-en-stress/",https://sociaalteamgouda.nl/onderwerp/ik-ben-eenzaam/
,,Bekijk de tips in deze video: Wil je toch graag hulp om weer fijn met je buren om te gaan? Schakel dan in.,"https://sociaalteamgouda.nl/activiteit/cursus-grip-op-je-geld/, https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://www.kwadraad.nl/buurtbemiddeling/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://sociaalteamgouda.nl/activiteit/sirenelunch/, https://sociaalteamgouda.nl/activiteit/wijksafari/, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl, https://www.kwadraad.nl/buurtbemiddeling/aanmelden-buurtbemiddeling/, https://sociaalteamgouda.nl/thema/wijk-activiteiten-en-meedoen/, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl/activiteit/koffietijd/, http://www.problemenmetjeburen.nl/, https://sociaalteamgouda.nl/thema/hulp-bij-zorgen-wonen-en-vervoer/",https://sociaalteamgouda.nl/onderwerp/hoe-zorg-ik-voor-een-fijne-omgang-met-mijn-buren/
,,"Veel mensen in Nederland zoeken woonruimte, zoals een kamer, appartement of een eengezinswoning. De realiteit is dat er in Nederland alleen niet genoeg woningen zijn. Daarom is het moeilijk om een woning te krijgen. Dat is soms heel erg vervelend. Bijvoorbeeld als een stel of echtpaar gaat scheiden en er voor één van de partners niet snel een woning is, of dat je jongere bent en graag uit huis wil en zelfstandig wil wonen.  Het Sociaal Team Gouda kan je helaas niet helpen bij het snel krijgen van een woning. We werken veel samen met de woningbouwverenigingen, maar hebben geen invloed om woningen voor mensen te regelen. Het Sociaal Team Gouda kan je ook helpen om de situatie thuis zo goed mogelijk te organiseren. We kunnen dan bijvoorbeeld meedenken wat je het beste kunt doen en waar je kan beginnen. Ben je op zoek naar een ? Schrijf je dan in bij een woningbouwvereniging via . Inschrijfkosten zijn € 23,00. Na betaling is je inschrijving 2 jaar actief. Je kunt dan digitaal reageren op het woningaanbod. Hebben jullie een ? Neem dan contact op met een hypotheekadviseur om jullie financiën inzichtelijk te maken. Soms kun je urgentie krijgen voor een huurwoning. Bijvoorbeeld als jullie gaan scheiden en één van de twee snel een huis nodig heeft. Dan krijg je voorrang op de wachtlijst van huurwoningen. Je moet hiervoor een urgentieverklaring aanvragen. Sinds 1 juli 2024 lopen nieuwe aanvragen via de gemeente Gouda. Hiervoor kan gebruik gemaakt worden van de volgende website: . Of je de urgentie krijgt, hangt af van je omstandigheden. Het Sociaal Team Gouda kan je helaas niet helpen om urgentie te krijgen. Wel kan het Sociaal Team Gouda je helpen om de urgentieverklaring aan te vragen. Er zijn ook nog meer manieren van huren en wonen. Om je op weg te helpen hebben we een document gemaakt met informatie over wonen. Klik of op de afbeelding om het document te openen. Als je (tijdelijk) dakloos bent of een briefadres nodig hebt, kun je melden bij het Centraal Meldpunt Dak- en Thuislozen. De gemeente Gouda kan dan met je meedenken wat het beste is en wat er mogelijk is. Klik voor meer informatie en om je te melden.","https://sociaalteamgouda.nl/activiteit/cursus-grip-op-je-geld/, https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/thema/hulp-bij-zorgen-wonen-en-vervoer/, https://www.gouda.nl/direct-regelen/zorg-en-hulp/opvang-en-hulp/melding-bijna-dakloos, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://www.woonpartners-mh.nl/ik-zoek/, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl/activiteit/financieel-spreekuur/, https://sociaalteamgouda.nl, http://www.woningnetregiomiddenholland.nl, https://sociaalteamgouda.nl/activiteit/themabijeenkomsten-voor-ouderen/, https://sociaalteamgouda.nl/thema/geld-en-schulden/, https://sociaalteamgouda.nl/wp-content/uploads/2022/01/Huisvestingsinformatie-Sociaal-Team-Gouda-versie-8-april-2021.pdf, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://eur06.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.gouda.nl%2Fdirect-regelen%2Fleven-en-wonen%2Fwoning-huren-of-kopen%2Furgentieverklaring%2F&data=05%7C02%7Ccommunicatie%40kwadraad.nl%7C438be669bfa142987eff08dca0bcd5ba%7C04e5b0d8098445c4b9c7eb4d890eb55b%7C0%7C0%7C638561980175655995%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=0QJGCHGi4EkaFsANQrQOYsiRbGUbPUozmqIHA2iXRZE%3D&reserved=0, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl/activiteit/webinar-financiele-gezondheid/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://www.mozaiekwonen.nl/ik-zoek-een-woning",https://sociaalteamgouda.nl/onderwerp/hoe-kom-ik-aan-een-woonruimte/
,,Het is belangrijk dat je een overzicht maakt van het geld dat je ontvangt en hoeveel geld je uitgeeft. Met een goed overzicht weet je ook of je schulden hebt. En hoe hoog deze schulden misschien zijn.,"https://sociaalteamgouda.nl/activiteit/cursus-grip-op-je-geld/, https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/wp-content/uploads/2023/02/Overzicht-inkomsten-en-uitgaven.pdf, https://www.goudawijzer.nl/is/een-vraag-over-2/werk-geld-en-uitkering-wi/geldzakenwi, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl/activiteit/financieel-spreekuur/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/thema/geld-en-schulden/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://uitdeschulden.nu/locatie/gouda/, https://www.humanitas.nl/afdeling/midden-holland/activiteiten/thuisadministratie/, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl/activiteit/webinar-financiele-gezondheid/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://www.nibud.nl/consumenten/een-maandbegroting-maken/, https://sociaalteamgouda.nl/wp-content/uploads/2023/02/2023-02-in-en-uitgaven-overzicht.xlsx, https://sociaalteamgouda.nl/activiteit/papierwinkel/",https://sociaalteamgouda.nl/onderwerp/mijn-administratie-op-orde-brengen/
,,"Het Sociaal Team Gouda heeft een overzicht gemaakt met bestaande minimaregelingen voor inwoners van de gemeente Gouda. Let op, we proberen dit overzicht zo actueel mogelijk te houden. Maar we kunnen niet garanderen dat het overzicht actueel is. Kijk voor het meest recente overzicht op Wil je weten op welke uitkering, toeslagen of tegemoetkomingen je recht hebt? Kijk dan op de website om te onderzoeken op welke vergoedingen van de gemeente Gouda je recht hebt. Op ‘ ’ van het Nibud zie je op welke landelijke vergoedingen je recht hebt. Heb je hulp nodig om dit aan te vragen? Dan kun je een afspraak maken met het Sociaal Team Gouda. Heb je juridische hulp nodig? Bijvoorbeeld als je bent ontslagen of als je ziek bent geworden en daardoor niet meer kunt werken? De Sociaal Raadslieden van het Sociaal Team Gouda kunnen je dan verder helpen. Je kunt ook naar het . Je kunt met het Juridisch Loket bellen via het telefoonnummer 0900-8020 (let op, dat kost 10 cent per minuut) of een . Je kunt ook bij een kantoor van het Juridisch Loket. Er is bijvoorbeeld een kantoor in en een kantoor in . Maar je kunt ook voor advies eerst contact opnemen met de sociaal raadslieden","https://sociaalteamgouda.nl/activiteit/cursus-grip-op-je-geld/, https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://www.juridischloket.nl/contact/leiden/, https://www.berekenuwrechtplus.nl/app/scherm10.php?u=1641269437.315.44503150902202, https://sociaalteamgouda.nl/wp-content/uploads/2023/03/Minimaregelingen-Gouda-feb-23.pdf, https://sociaalteamgouda.nl/thema/hulp-bij-zorgen-wonen-en-vervoer/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/thema/werk-uitkering-en-leren/, https://sociaalteamgouda.nl/aanmeldformulier/, https://berekenuwrecht.nibud.nl/introductie, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl/activiteit/financieel-spreekuur/, https://sociaalteamgouda.nl, https://www.juridischloket.nl/, https://sociaalteamgouda.nl/activiteit/themabijeenkomsten-voor-ouderen/, https://sociaalteamgouda.nl/thema/geld-en-schulden/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://www.juridischloket.nl/contact/, http://www.goudawijzer.nl, http://www.gouda.nl, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl/activiteit/webinar-financiele-gezondheid/, https://www.juridischloket.nl/contact/rotterdam/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://www.juridischloket.nl/email-ons/, https://www.belastingdienst.nl/, https://sociaalteamgouda.nl/onderwerp/ik-heb-vragen-over-wetten-regelingen-of-voorzieningen/, https://sociaalteamgouda.nl/activiteit/papierwinkel/, https://www.belastingdienst.nl/wps/wcm/connect/nl/toeslagen/toeslagen",https://sociaalteamgouda.nl/onderwerp/op-welke-uitkeringen-en-toeslagen-heb-ik-recht/
,,Maak eerst een overzicht van je schulden. Gebruik daarvoor deze of deze . Je kunt zo makkelijk op een rij zetten welke schulden je hebt.,"https://sociaalteamgouda.nl/activiteit/cursus-grip-op-je-geld/, https://sociaalteamgouda.nl/nieuws/, https://sociaalteamgouda.nl/ik-zoek-hulp/, https://sociaalteamgouda.nl/wp-content/uploads/2023/02/Overzicht-inkomsten-en-uitgaven.pdf, https://www.goudawijzer.nl/is/een-vraag-over-2/werk-geld-en-uitkering-wi/geldzakenwi, https://www.goudawijzer.nl/is/een-vraag-over-2/werk-geld-en-uitkering/geldzaken/schulden/schuldhulpverlening, https://www.zelfjeschuldenregelen.nl/, https://sociaalteamgouda.nl/activiteiten/, https://sociaalteamgouda.nl/thema/werk-uitkering-en-leren/, https://sociaalteamgouda.nl/aanmeldformulier/, https://sociaalteamgouda.nl/hulp-bij-de-belastingaangiftepapierwinkel-en-bibliotheek-bieden-weer-hulp-voor-gouwenaars/, https://sociaalteamgouda.nl/activiteit/financieel-spreekuur/, https://sociaalteamgouda.nl, https://sociaalteamgouda.nl/thema/geld-en-schulden/, https://sociaalteamgouda.nl/10-nieuwe-trainingen-beschikbaar/, https://uitdeschulden.nu/locatie/gouda/, https://www.humanitas.nl/afdeling/midden-holland/activiteiten/thuisadministratie/, https://sociaalteamgouda.nl/jongeren-check-je-belastingaangifte-misschien-krijg-je-geld-terug/, https://sociaalteamgouda.nl/activiteit/webinar-financiele-gezondheid/, https://www.nibud.nl/consumenten/themas/hulp-bij-schulden/, https://sociaalteamgouda.nl/volg-een-gratis-training/, https://sociaalteamgouda.nl/wp-content/uploads/2023/02/2023-02-in-en-uitgaven-overzicht.xlsx, https://sociaalteamgouda.nl/activiteit/papierwinkel/",https://sociaalteamgouda.nl/onderwerp/ik-heb-schulden/
