soort_sport,sportaanbieder,website
Aangepast sporten,ISV - Vereniging voor aangepast sporten,https://www.isvgouda.nl/
Atletiek,AV Gouda,https://www.avgouda.nl
Badminton,ISV Gouda,https://www.isvgouda.nl/
Boksen,Parkinson-Boksen,https://parkinsonboksennederland.nl/
Dansen,Dansstudio Gouda,https://www.dansstudiogouda.nl/
Dansen,Touché Sara,https://touchesara.nl/
"Dansen, bowlen en sport, spel en bewegen",De Klup Gouda,https://www.deklupgouda.nl/
Fitness | Personal training,Den Edel Fun to be Fit,https://www.denedelgouda.nl/
Freerunnen,Urban-Inside,https://www.urban-inside.nl/
Kickboxing,Silent Dragon Holland,https://silentdragonholland.com/locaties/gouda/
Paardrijden,Ruiterclub Bloemendaal,https://ruiterclubbloemendaal.nl/
Rolstoelbasketbal,Bouncers Rolstoelbasketbal,https://www.bouncersbasketball.nl/wp/bouncers-basketball-teams-rolstoelbasketbal/
"Sport, spel en bewegen",Fitkids door FysioVisiq,https://fysiovisiq.nl/
"Sport, spel en bewegen",ISV Gouda,https://www.isvgouda.nl/
Stoelgym,ISV Gouda,https://www.isvgouda.nl/stoelengym/
Tafeltennis,ISV Gouda,https://www.isvgouda.nl/
Trimmen,Groene Harttrimclub Gouda,https://www.groeneharttrimclubgouda.nl/trimmen/
Voetbal,De Jodan Boys,https://cvvdejodanboys.nl/
Voetbal,SV DONK,https://www.svdonk.nl/
Zeilen,Roei- en Zeilvereniging Gouda,https://www.roeienzeil.nl/
Zelfstandig banenzwemmen,SPORT•GOUDA,https://www.sportpuntgouda.nl/activiteiten/zwemmen-met-een-visuele-beperking
Zwemmen,Groene Harttrimclub Gouda,https://www.groeneharttrimclubgouda.nl/
Zwemmen,GZC DONK,https://www.gzcdonk.nl/index.html
Zwemmen,ISV Gouda,https://www.isvgouda.nl/
Atletiek,AV Gouda,https://www.avgouda.nl/
Basketbal,Bouncers Basketball,https://www.bouncersbasketball.nl/wp/
Biljarten,De Hoog Biljart en Bridge Centrum,https://bdcgouda.nl/biljarten/
Biljarten,Biljartvereniging Nieuwe Gouwe,https://bdcgouda.nl/biljartvereniging-nieuwe-gouwe/
Darten,Dart Federatie Het Groene Hart,https://dfhgh.nl/
Bowlen,Bowling Vereniging Gouda (BVG),https://www.bvgouda.nl/
Cricket,GCC Olympia,https://gccolympia.nl/
Afrikaans dansen,Afrikaans dansen Gouda,https://www.facebook.com/AfrikaansdanseninGouda/?locale=nl_NL
Batuque Capoeira,Batuque Capoeira Holland,https://capoeiraholland.com/
Stijldansen en/of Salsa,Step by Step Dance & Events,https://stepbystepgouda.nl/
Dansen,Touché Sara,https://touchesara.nl/
Bridge,B.C. Gouda '82,https://5025.bridge.nl/
Bridge,BK Ons Genoegen,https://5016.bridge.nl/
Bridge | Dammen | Go | Schaken,De Hoog Biljart & Bridge Centrum,https://bdcgouda.nl/sporten-2/
Schaken,Schaakclub Messemaker,https://www.messemaker-1847.nl/wp/
Turnen,Velocitas,https://www.velocitasgouda.nl/
Handbal,Vires et Celeritas,https://www.vireshandbal.nl/
Hengelsport,Viswaterpachting Gouda,https://ghvgroenehart.nl/afdelingen/viswaterpachting-gouda/
Hockey,Gouds Mixed Hockey Club,https://www.gmhc.nl/
Honkbal | Softbal,HSV The Braves,http://www.braves.nl/
Korfbal,A&CKV Gemini,https://gemini-korfbal.nl/
Bootcamp,FysioVisiq,https://fysiovisiq.nl/groepslessen/
Crossfit,Crossfit Gouda,https://crossfit-gouda.nl/
