datum,tijd,activiteit,faciliteit
dinsdag 22 april 2025,15:00 – 18:15Trefkuil,Zwemles,Trefkuil
dinsdag 22 april 2025,15:00 – 18:15Spaardersbad,Zwemles,Spaardersbad
dinsdag 22 april 2025,18:30 – 19:00Trefkuil,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 22 april 2025,18:30 – 21:301/2 Tobbe (buitenbadzijde),Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 22 april 2025,19:00 – 19:30Trefkuil,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 22 april 2025,19:45 – 20:30Trefkuil,AquajoggenReserveren,Trefkuil
woensdag 23 april 2025,07:00 – 12:001/2 Tobbe (horecazijde),Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 23 april 2025,09:15 – 09:45Trefkuil,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 23 april 2025,09:45 – 10:15Trefkuil,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 23 april 2025,10:00 – 10:45Spaardersbad,AquajoggenReserveren,Spaardersbad
woensdag 23 april 2025,10:30 – 11:00Trefkuil,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 23 april 2025,13:00 – 13:451/2 Tobbe (horecazijde),Zwemles,1/2 Tobbe (horecazijde)
woensdag 23 april 2025,13:15 – 17:30Trefkuil,Zwemles,Trefkuil
woensdag 23 april 2025,13:15 – 17:30Spaardersbad,Zwemles,Spaardersbad
woensdag 23 april 2025,20:00 – 21:301/2 Tobbe (horecazijde),Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 24 april 2025,13:00 – 14:30Trefkuil,Recreatief zwemmen 55+,Trefkuil
donderdag 24 april 2025,13:00 – 14:30Spaardersbad,Recreatief zwemmen 55+,Spaardersbad
donderdag 24 april 2025,15:30 – 18:00Trefkuil,Zwemles,Trefkuil
donderdag 24 april 2025,15:30 – 18:00Spaardersbad,Zwemles,Spaardersbad
donderdag 24 april 2025,19:45 – 20:30Spaardersbad,AquajoggenReserveren,Spaardersbad
donderdag 24 april 2025,20:15 – 21:00Trefkuil,Zwanger & FitReserveren,Trefkuil
vrijdag 25 april 2025,07:00 – 12:001/2 Tobbe (horecazijde),Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 25 april 2025,10:00 – 10:45Spaardersbad,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 25 april 2025,11:00 – 11:45Trefkuil,WatergymnastiekReserveren,Trefkuil
vrijdag 25 april 2025,15:30 – 18:00Trefkuil,Zwemles,Trefkuil
vrijdag 25 april 2025,15:30 – 18:00Spaardersbad,Zwemles,Spaardersbad
zondag 27 april 2025,09:00 – 11:301/2 Tobbe (horecazijde),Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 27 april 2025,09:15 – 11:30Spaardersbad,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 27 april 2025,09:15 – 11:30Trefkuil,Zwemles 'Door ouder aan kind',Trefkuil
zondag 27 april 2025,12:00 – 14:00Trefkuil,Recreatief zwemmen,Trefkuil
zondag 27 april 2025,12:00 – 14:00Spaardersbad,Recreatief zwemmen,Spaardersbad
maandag 28 april 2025,07:00 – 12:001/2 Tobbe (horecazijde),Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 28 april 2025,08:00 – 09:00Trefkuil,Warm water zwemmen,Trefkuil
maandag 28 april 2025,09:00 – 12:00Buitenbad,Banenzwemmen,Buitenbad
maandag 28 april 2025,09:15 – 09:45Trefkuil,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 28 april 2025,09:45 – 10:15Trefkuil,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 28 april 2025,10:00 – 10:45Spaardersbad,AquajoggenReserveren,Spaardersbad
maandag 28 april 2025,10:30 – 11:00Trefkuil,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 28 april 2025,11:00 – 12:001/2 Tobbe (horecazijde),Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 28 april 2025,11:15 – 12:15Trefkuil,Warm water zwemmen,Trefkuil
maandag 28 april 2025,13:00 – 17:00Trefkuil,Spelmiddag,Trefkuil
maandag 28 april 2025,13:00 – 17:001/2 Tobbe (horecazijde),Spelmiddag,1/2 Tobbe (horecazijde)
maandag 28 april 2025,13:00 – 17:00Spaardersbad,Spelmiddag,Spaardersbad
maandag 28 april 2025,18:30 – 22:001/2 Tobbe (horecazijde),Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 28 april 2025,21:00 – 22:00Trefkuil,Warm water zwemmen,Trefkuil
